country_code,country_name,year,Foreign direct investment (% of GDP)
,,2000,0.995621604337453
BRN,Brunei Darussalam,2001,0.995621604337453
BRN,Brunei Darussalam,2002,3.62654271330788
BRN,Brunei Darussalam,2003,1.72747847570747
BRN,Brunei Darussalam,2004,1.31341824546458
BRN,Brunei Darussalam,2005,1.65985733844246
BRN,Brunei Darussalam,2006,0.694676099407027
BRN,Brunei Darussalam,2007,1.91806992064155
BRN,Brunei Darussalam,2008,1.39506581145342
BRN,Brunei Darussalam,2009,2.73305999382492
,,2010,2.85776979792226
,,2011,2.9824796020196
,,2012,3.10718940611694
,,2013,3.23189921021428
BRN,Brunei Darussalam,2014,3.35660901431162
BRN,Brunei Darussalam,2015,1.3247117972472
BRN,Brunei Darussalam,2016,-1.32059047200933
BRN,Brunei Darussalam,2017,3.85818821533147
BRN,Brunei Darussalam,2018,3.80486552547671
BRN,Brunei Darussalam,2019,2.77118008258428
BRN,Brunei Darussalam,2020,4.71057564880466
BRN,Brunei Darussalam,2021,1.46181722277193
BRN,Brunei Darussalam,2022,-1.75293370882122
BRN,Brunei Darussalam,2023,-0.33706803706167
,,2024,-0.33706803706167
,,2025,-0.33706803706167
,,2026,-0.33706803706167
,,2027,-0.33706803706167
,,2028,-0.33706803706167
,,2029,-0.33706803706167
,,2030,-0.33706803706167
,,2031,-0.33706803706167
,,2032,-0.33706803706167
,,2033,-0.33706803706167
,,2034,-0.33706803706167
,,2035,-0.33706803706167
IDN,Indonesia,2000,-2.75743993350903
IDN,Indonesia,2001,-1.85568619300523
IDN,Indonesia,2002,0.0741516383181159
IDN,Indonesia,2003,-0.254256320381005
IDN,Indonesia,2004,0.738243979887563
IDN,Indonesia,2005,2.91611483313067
IDN,Indonesia,2006,1.3479426406893
IDN,Indonesia,2007,1.6030105718879
IDN,Indonesia,2008,1.82632902403999
IDN,Indonesia,2009,0.903919419654062
IDN,Indonesia,2010,2.02517914576708
IDN,Indonesia,2011,2.30298429390257
IDN,Indonesia,2012,2.30978031844954
IDN,Indonesia,2013,2.55135633401058
IDN,Indonesia,2014,2.81997260419232
IDN,Indonesia,2015,2.29761639372032
IDN,Indonesia,2016,0.48737247137071
IDN,Indonesia,2017,2.01948919810922
IDN,Indonesia,2018,1.81428979355558
IDN,Indonesia,2019,2.23336204275137
IDN,Indonesia,2020,1.81058402024892
IDN,Indonesia,2021,1.78785563147915
IDN,Indonesia,2022,1.87267638101123
IDN,Indonesia,2023,1.61073360160404
,,2024,1.61073360160404
,,2025,1.61073360160404
,,2026,1.61073360160404
,,2027,1.61073360160404
,,2028,1.61073360160404
,,2029,1.61073360160404
,,2030,1.61073360160404
,,2031,1.61073360160404
,,2032,1.61073360160404
,,2033,1.61073360160404
,,2034,1.61073360160404
,,2035,1.61073360160404
KHM,Cambodia,2000,3.20257592365611
KHM,Cambodia,2001,3.53337669089549
KHM,Cambodia,2002,2.90934773211661
KHM,Cambodia,2003,1.61651685032136
KHM,Cambodia,2004,2.2337173477841
KHM,Cambodia,2005,5.36603852621256
KHM,Cambodia,2006,5.7865707192619
KHM,Cambodia,2007,8.56334609470361
KHM,Cambodia,2008,6.69590818514056
KHM,Cambodia,2009,7.42542554520067
KHM,Cambodia,2010,10.1698071899391
KHM,Cambodia,2011,9.59845134883883
KHM,Cambodia,2012,11.1524912445112
KHM,Cambodia,2013,10.4430587644193
KHM,Cambodia,2014,8.4090202030066
KHM,Cambodia,2015,7.54029662001988
KHM,Cambodia,2016,9.32318507305768
KHM,Cambodia,2017,9.49760203098747
KHM,Cambodia,2018,9.69240300027115
KHM,Cambodia,2019,9.98500044202808
KHM,Cambodia,2020,10.410239809326
KHM,Cambodia,2021,9.4684591111041
KHM,Cambodia,2022,8.94830125779537
KHM,Cambodia,2023,9.35096701989758
,,2024,9.35096701989758
,,2025,9.35096701989758
,,2026,9.35096701989758
,,2027,9.35096701989758
,,2028,9.35096701989758
,,2029,9.35096701989758
,,2030,9.35096701989758
,,2031,9.35096701989758
,,2032,9.35096701989758
,,2033,9.35096701989758
,,2034,9.35096701989758
,,2035,9.35096701989758
LAO,Lao PDR,2000,1.95760389973722
LAO,Lao PDR,2001,1.35157901983043
LAO,Lao PDR,2002,0.253176893420544
LAO,Lao PDR,2003,0.962969691363711
LAO,Lao PDR,2004,0.714895049062071
LAO,Lao PDR,2005,1.01332132437858
LAO,Lao PDR,2006,5.42138961728604
LAO,Lao PDR,2007,7.66062749777557
LAO,Lao PDR,2008,4.18200303606929
LAO,Lao PDR,2009,5.45905949594973
LAO,Lao PDR,2010,3.90935018167503
LAO,Lao PDR,2011,3.43702755895922
LAO,Lao PDR,2012,6.06067602678934
LAO,Lao PDR,2013,5.68624628337024
LAO,Lao PDR,2014,6.53385086120159
LAO,Lao PDR,2015,7.47075777292731
LAO,Lao PDR,2016,5.87774436155716
LAO,Lao PDR,2017,9.91778683507173
LAO,Lao PDR,2018,7.4856486219066
LAO,Lao PDR,2019,4.03149139231071
LAO,Lao PDR,2020,5.09807193491087
LAO,Lao PDR,2021,5.69344695957329
LAO,Lao PDR,2022,4.69509225789708
LAO,Lao PDR,2023,11.2425630959408
,,2024,11.2425630959408
,,2025,11.2425630959408
,,2026,11.2425630959408
,,2027,11.2425630959408
,,2028,11.2425630959408
,,2029,11.2425630959408
,,2030,11.2425630959408
,,2031,11.2425630959408
,,2032,11.2425630959408
,,2033,11.2425630959408
,,2034,11.2425630959408
,,2035,11.2425630959408
MMR,Myanmar,2000,2.86117768008645
MMR,Myanmar,2001,3.21565753506977
MMR,Myanmar,2002,2.22070502562137
MMR,Myanmar,2003,2.3777576671811
MMR,Myanmar,2004,2.0001628964787
MMR,Myanmar,2005,1.95966396539679
MMR,Myanmar,2006,1.90182128285749
MMR,Myanmar,2007,3.5175166973129
MMR,Myanmar,2008,2.71127181000311
MMR,Myanmar,2009,2.92355415980151
MMR,Myanmar,2010,1.81897202342465
MMR,Myanmar,2011,4.20127651183029
MMR,Myanmar,2012,2.22540068514517
MMR,Myanmar,2013,3.74085607932619
MMR,Myanmar,2014,3.31904421407349
MMR,Myanmar,2015,6.85124098711179
MMR,Myanmar,2016,5.17880132517466
MMR,Myanmar,2017,7.27335555212816
MMR,Myanmar,2018,2.60563229851106
MMR,Myanmar,2019,2.31211211194364
,,2020,2.31211211194364
,,2021,2.31211211194364
,,2022,2.31211211194364
,,2023,2.31211211194364
,,2024,2.31211211194364
,,2025,2.31211211194364
,,2026,2.31211211194364
,,2027,2.31211211194364
,,2028,2.31211211194364
,,2029,2.31211211194364
,,2030,2.31211211194364
,,2031,2.31211211194364
,,2032,2.31211211194364
,,2033,2.31211211194364
,,2034,2.31211211194364
,,2035,2.31211211194364
MYS,Malaysia,2000,4.03842862393764
MYS,Malaysia,2001,0.597029318252079
MYS,Malaysia,2002,3.16612432250471
MYS,Malaysia,2003,2.92094209456765
MYS,Malaysia,2004,3.50787262049413
MYS,Malaysia,2005,2.73438734940078
MYS,Malaysia,2006,4.72716484834358
MYS,Malaysia,2007,4.68684578287436
MYS,Malaysia,2008,3.28081949125174
MYS,Malaysia,2009,0.056692316075743
MYS,Malaysia,2010,4.26864663854031
MYS,Malaysia,2011,5.07446032143377
MYS,Malaysia,2012,2.8290573817453
MYS,Malaysia,2013,3.49431175959971
MYS,Malaysia,2014,3.14122940365348
MYS,Malaysia,2015,3.27094402931735
MYS,Malaysia,2016,4.47130958598651
MYS,Malaysia,2017,2.93582038058561
MYS,Malaysia,2018,2.31458721219734
MYS,Malaysia,2019,2.50697705748044
MYS,Malaysia,2020,1.20275464255821
MYS,Malaysia,2021,5.41625984914692
MYS,Malaysia,2022,3.68689336269238
MYS,Malaysia,2023,1.98111049295111
,,2024,1.98111049295111
,,2025,1.98111049295111
,,2026,1.98111049295111
,,2027,1.98111049295111
,,2028,1.98111049295111
,,2029,1.98111049295111
,,2030,1.98111049295111
,,2031,1.98111049295111
,,2032,1.98111049295111
,,2033,1.98111049295111
,,2034,1.98111049295111
,,2035,1.98111049295111
PHL,Philippines,2000,1.77722452873062
PHL,Philippines,2001,0.96298544393499
PHL,Philippines,2002,2.09827504516588
PHL,Philippines,2003,0.565263243432102
PHL,Philippines,2004,0.623144777963454
PHL,Philippines,2005,1.54906009249231
PHL,Philippines,2006,2.12091886479217
PHL,Philippines,2007,1.87121245887706
PHL,Philippines,2008,0.737800589215247
PHL,Philippines,2009,1.17324821246427
PHL,Philippines,2010,0.513698049517663
PHL,Philippines,2011,0.856963002969068
PHL,Philippines,2012,1.2276300069868
PHL,Philippines,2013,1.31642638381475
PHL,Philippines,2014,1.92937522797834
PHL,Philippines,2015,1.84018010715303
PHL,Philippines,2016,2.59850803497646
PHL,Philippines,2017,3.12238778408668
PHL,Philippines,2018,2.86833826073638
PHL,Philippines,2019,2.30117498594757
PHL,Philippines,2020,1.88586363211171
PHL,Philippines,2021,3.04078855310047
PHL,Philippines,2022,2.3475097233369
PHL,Philippines,2023,2.08541079990247
,,2024,2.08541079990247
,,2025,2.08541079990247
,,2026,2.08541079990247
,,2027,2.08541079990247
,,2028,2.08541079990247
,,2029,2.08541079990247
,,2030,2.08541079990247
,,2031,2.08541079990247
,,2032,2.08541079990247
,,2033,2.08541079990247
,,2034,2.08541079990247
,,2035,2.08541079990247
SGP,Singapore,2000,16.148890451527
SGP,Singapore,2001,18.9398606857353
SGP,Singapore,2002,6.65366588247058
SGP,Singapore,2003,17.4624153696896
SGP,Singapore,2004,21.2027237505542
SGP,Singapore,2005,15.1133588478776
SGP,Singapore,2006,26.3271523046736
SGP,Singapore,2007,26.1619888768056
SGP,Singapore,2008,7.02328608228291
SGP,Singapore,2009,12.0710944143275
SGP,Singapore,2010,23.0694716770803
SGP,Singapore,2011,17.5960314065855
SGP,Singapore,2012,18.7435244231802
SGP,Singapore,2013,20.9344810446532
SGP,Singapore,2014,21.8184880782679
SGP,Singapore,2015,22.6541826890492
SGP,Singapore,2016,20.4865236102582
SGP,Singapore,2017,29.7636517525701
SGP,Singapore,2018,21.7592915016982
SGP,Singapore,2019,28.0949935764636
SGP,Singapore,2020,23.1003005183608
SGP,Singapore,2021,31.6207400179128
SGP,Singapore,2022,29.8437975950876
SGP,Singapore,2023,34.9485153079274
,,2024,34.9485153079274
,,2025,34.9485153079274
,,2026,34.9485153079274
,,2027,34.9485153079274
,,2028,34.9485153079274
,,2029,34.9485153079274
,,2030,34.9485153079274
,,2031,34.9485153079274
,,2032,34.9485153079274
,,2033,34.9485153079274
,,2034,34.9485153079274
,,2035,34.9485153079274
THA,Thailand,2000,2.66312868727133
THA,Thailand,2001,4.21223509530842
THA,Thailand,2002,2.48815301889834
THA,Thailand,2003,3.43593984811892
THA,Thailand,2004,3.38947495269123
THA,Thailand,2005,4.33958708070528
THA,Thailand,2006,4.0212567065949
THA,Thailand,2007,3.28356939351343
THA,Thailand,2008,2.93824905393328
THA,Thailand,2009,2.27590224065624
THA,Thailand,2010,4.32320928209174
THA,Thailand,2011,0.667087644548593
THA,Thailand,2012,3.24456444314608
THA,Thailand,2013,3.79126450872817
THA,Thailand,2014,1.22145318013998
THA,Thailand,2015,2.22468548959784
THA,Thailand,2016,0.843364340718618
THA,Thailand,2017,1.81550260101987
THA,Thailand,2018,2.71279835138662
THA,Thailand,2019,1.01734877580041
THA,Thailand,2020,-0.857989527274493
THA,Thailand,2021,3.03988153625607
THA,Thailand,2022,2.39179594101395
THA,Thailand,2023,1.26532850050476
,,2024,1.26532850050476
,,2025,1.26532850050476
,,2026,1.26532850050476
,,2027,1.26532850050476
,,2028,1.26532850050476
,,2029,1.26532850050476
,,2030,1.26532850050476
,,2031,1.26532850050476
,,2032,1.26532850050476
,,2033,1.26532850050476
,,2034,1.26532850050476
,,2035,1.26532850050476
VNM,Vietnam,2000,4.16392407955693
VNM,Vietnam,2001,3.97733545270572
VNM,Vietnam,2002,3.99268705133996
VNM,Vietnam,2003,3.66601229989583
VNM,Vietnam,2004,3.54408107288199
VNM,Vietnam,2005,3.39040363930871
VNM,Vietnam,2006,3.61600090432522
VNM,Vietnam,2007,8.65471771434805
VNM,Vietnam,2008,9.6630390545572
VNM,Vietnam,2009,7.16881988884276
VNM,Vietnam,2010,5.4347392933443
VNM,Vietnam,2011,4.30487434902161
VNM,Vietnam,2012,4.27832287681174
VNM,Vietnam,2013,4.16454517277325
VNM,Vietnam,2014,3.94086189051961
VNM,Vietnam,2015,4.93190773329022
VNM,Vietnam,2016,4.90089302916746
VNM,Vietnam,2017,5.01148721749681
VNM,Vietnam,2018,4.99828319622328
VNM,Vietnam,2019,4.821074861051
VNM,Vietnam,2020,4.55836196782424
VNM,Vietnam,2021,4.27314566190187
VNM,Vietnam,2022,4.3624059864868
VNM,Vietnam,2023,4.30515928686171
,,2024,4.30515928686171
,,2025,4.30515928686171
,,2026,4.30515928686171
,,2027,4.30515928686171
,,2028,4.30515928686171
,,2029,4.30515928686171
,,2030,4.30515928686171
,,2031,4.30515928686171
,,2032,4.30515928686171
,,2033,4.30515928686171
,,2034,4.30515928686171
,,2035,4.30515928686171
