country_code,country_name,year,Energy use (kg of oil equivalent per capita)
BRN,Brunei Darussalam,2000,7304.93468617504
BRN,Brunei Darussalam,2001,6623.00919467819
BRN,Brunei Darussalam,2002,6343.40589063773
BRN,Brunei Darussalam,2003,7226.39245089243
BRN,Brunei Darussalam,2004,6507.90142557189
BRN,Brunei Darussalam,2005,6179.46817639782
BRN,Brunei Darussalam,2006,8642.2834233251
BRN,Brunei Darussalam,2007,8701.7280848161
BRN,Brunei Darussalam,2008,9377.27803320866
BRN,Brunei Darussalam,2009,7904.3776886469
BRN,Brunei Darussalam,2010,8259.16315773376
BRN,Brunei Darussalam,2011,9697.02470523725
BRN,Brunei Darussalam,2012,9443.9154052328
BRN,Brunei Darussalam,2013,7398.2081799213
BRN,Brunei Darussalam,2014,8527.80563887223
,,2015,8527.80563887223
,,2016,8527.80563887223
,,2017,8527.80563887223
,,2018,8527.80563887223
,,2019,8527.80563887223
,,2020,8527.80563887223
,,2021,8527.80563887223
,,2022,8527.80563887223
,,2023,8527.80563887223
,,2024,8527.80563887223
,,2025,8527.80563887223
,,2026,8527.80563887223
,,2027,8527.80563887223
,,2028,8527.80563887223
,,2029,8527.80563887223
,,2030,8527.80563887223
,,2031,8527.80563887223
,,2032,8527.80563887223
,,2033,8527.80563887223
,,2034,8527.80563887223
,,2035,8527.80563887223
IDN,Indonesia,2000,720.369553020697
IDN,Indonesia,2001,727.132877794512
IDN,Indonesia,2002,743.975400436659
IDN,Indonesia,2003,736.276643692843
IDN,Indonesia,2004,774.982863017479
IDN,Indonesia,2005,778.643103213409
IDN,Indonesia,2006,786.463974188992
IDN,Indonesia,2007,772.487879422196
IDN,Indonesia,2008,777.617865858864
IDN,Indonesia,2009,829.998798454213
IDN,Indonesia,2010,861.154360278094
IDN,Indonesia,2011,819.014453808223
IDN,Indonesia,2012,838.871821669715
IDN,Indonesia,2013,850.157168896871
IDN,Indonesia,2014,871.119668503777
,,2015,871.119668503777
,,2016,871.119668503777
,,2017,871.119668503777
,,2018,871.119668503777
,,2019,871.119668503777
,,2020,871.119668503777
,,2021,871.119668503777
,,2022,871.119668503777
,,2023,871.119668503777
,,2024,871.119668503777
,,2025,871.119668503777
,,2026,871.119668503777
,,2027,871.119668503777
,,2028,871.119668503777
,,2029,871.119668503777
,,2030,871.119668503777
,,2031,871.119668503777
,,2032,871.119668503777
,,2033,871.119668503777
,,2034,871.119668503777
,,2035,871.119668503777
KHM,Cambodia,2000,273.814475873544
KHM,Cambodia,2001,270.976682515853
KHM,Cambodia,2002,310.725252058674
KHM,Cambodia,2003,315.288030742241
KHM,Cambodia,2004,255.895193341412
KHM,Cambodia,2005,255.663171072211
KHM,Cambodia,2006,251.436612638379
KHM,Cambodia,2007,251.273789406991
KHM,Cambodia,2008,248.24209009029
KHM,Cambodia,2009,355.868923099768
KHM,Cambodia,2010,365.446392132366
KHM,Cambodia,2011,376.551086412548
KHM,Cambodia,2012,386.485590413169
KHM,Cambodia,2013,393.149190835089
KHM,Cambodia,2014,413.528108359337
,,2015,413.528108359337
,,2016,413.528108359337
,,2017,413.528108359337
,,2018,413.528108359337
,,2019,413.528108359337
,,2020,413.528108359337
,,2021,413.528108359337
,,2022,413.528108359337
,,2023,413.528108359337
,,2024,413.528108359337
,,2025,413.528108359337
,,2026,413.528108359337
,,2027,413.528108359337
,,2028,413.528108359337
,,2029,413.528108359337
,,2030,413.528108359337
,,2031,413.528108359337
,,2032,413.528108359337
,,2033,413.528108359337
,,2034,413.528108359337
,,2035,413.528108359337
MMR,Myanmar,2000,283.550199476314
MMR,Myanmar,2001,274.183672816182
MMR,Myanmar,2002,280.615196363488
MMR,Myanmar,2003,301.526091392
MMR,Myanmar,2004,315.405275497733
MMR,Myanmar,2005,314.009135854492
MMR,Myanmar,2006,316.144215141382
MMR,Myanmar,2007,325.701090802142
MMR,Myanmar,2008,312.261921394841
MMR,Myanmar,2009,294.199053897128
MMR,Myanmar,2010,286.00283018356
MMR,Myanmar,2011,289.844135409639
MMR,Myanmar,2012,314.155765526187
MMR,Myanmar,2013,330.502139381487
MMR,Myanmar,2014,380.985920856459
,,2015,380.985920856459
,,2016,380.985920856459
,,2017,380.985920856459
,,2018,380.985920856459
,,2019,380.985920856459
,,2020,380.985920856459
,,2021,380.985920856459
,,2022,380.985920856459
,,2023,380.985920856459
,,2024,380.985920856459
,,2025,380.985920856459
,,2026,380.985920856459
,,2027,380.985920856459
,,2028,380.985920856459
,,2029,380.985920856459
,,2030,380.985920856459
,,2031,380.985920856459
,,2032,380.985920856459
,,2033,380.985920856459
,,2034,380.985920856459
,,2035,380.985920856459
MYS,Malaysia,2000,2128.59533531617
MYS,Malaysia,2001,2162.6181888725
MYS,Malaysia,2002,2181.9827065907
MYS,Malaysia,2003,2283.09281486792
MYS,Malaysia,2004,2399.18486020304
MYS,Malaysia,2005,2544.0910113616
MYS,Malaysia,2006,2501.712607156
MYS,Malaysia,2007,2680.57790411124
MYS,Malaysia,2008,2744.00801971443
MYS,Malaysia,2009,2555.84477857923
MYS,Malaysia,2010,2560.80226199423
MYS,Malaysia,2011,2623.8471185091
MYS,Malaysia,2012,2624.83537056864
MYS,Malaysia,2013,2909.99247206187
MYS,Malaysia,2014,2922.28592151514
,,2015,2922.28592151514
,,2016,2922.28592151514
,,2017,2922.28592151514
,,2018,2922.28592151514
,,2019,2922.28592151514
,,2020,2922.28592151514
,,2021,2922.28592151514
,,2022,2922.28592151514
,,2023,2922.28592151514
,,2024,2922.28592151514
,,2025,2922.28592151514
,,2026,2922.28592151514
,,2027,2922.28592151514
,,2028,2922.28592151514
,,2029,2922.28592151514
,,2030,2922.28592151514
,,2031,2922.28592151514
,,2032,2922.28592151514
,,2033,2922.28592151514
,,2034,2922.28592151514
,,2035,2922.28592151514
PHL,Philippines,2000,502.227285598337
PHL,Philippines,2001,470.398858065101
PHL,Philippines,2002,467.257808154868
PHL,Philippines,2003,459.257751233642
PHL,Philippines,2004,448.979705931294
PHL,Philippines,2005,441.438224580219
PHL,Philippines,2006,430.899507676246
PHL,Philippines,2007,424.339806988477
PHL,Philippines,2008,432.636985290957
PHL,Philippines,2009,404.586633892837
PHL,Philippines,2010,419.330927718675
PHL,Philippines,2011,413.916475198317
PHL,Philippines,2012,431.789367844708
PHL,Philippines,2013,438.83582380935
PHL,Philippines,2014,459.424559588378
,,2015,459.424559588378
,,2016,459.424559588378
,,2017,459.424559588378
,,2018,459.424559588378
,,2019,459.424559588378
,,2020,459.424559588378
,,2021,459.424559588378
,,2022,459.424559588378
,,2023,459.424559588378
,,2024,459.424559588378
,,2025,459.424559588378
,,2026,459.424559588378
,,2027,459.424559588378
,,2028,459.424559588378
,,2029,459.424559588378
,,2030,459.424559588378
,,2031,459.424559588378
,,2032,459.424559588378
,,2033,459.424559588378
,,2034,459.424559588378
,,2035,459.424559588378
SGP,Singapore,2000,4634.72585005488
SGP,Singapore,2001,5145.88575383542
SGP,Singapore,2002,5065.98450651947
SGP,Singapore,2003,6216.7391768206
SGP,Singapore,2004,7370.65287721784
SGP,Singapore,2005,5055.96631973373
SGP,Singapore,2006,5264.39865814355
SGP,Singapore,2007,4677.2043057151
SGP,Singapore,2008,5094.13571445693
SGP,Singapore,2009,4257.77627715925
SGP,Singapore,2010,5006.62099161429
SGP,Singapore,2011,5069.17179429009
SGP,Singapore,2012,4898.33046490716
SGP,Singapore,2013,4880.40607042352
SGP,Singapore,2014,5121.80431773157
,,2015,5121.80431773157
,,2016,5121.80431773157
,,2017,5121.80431773157
,,2018,5121.80431773157
,,2019,5121.80431773157
,,2020,5121.80431773157
,,2021,5121.80431773157
,,2022,5121.80431773157
,,2023,5121.80431773157
,,2024,5121.80431773157
,,2025,5121.80431773157
,,2026,5121.80431773157
,,2027,5121.80431773157
,,2028,5121.80431773157
,,2029,5121.80431773157
,,2030,5121.80431773157
,,2031,5121.80431773157
,,2032,5121.80431773157
,,2033,5121.80431773157
,,2034,5121.80431773157
,,2035,5121.80431773157
THA,Thailand,2000,1147.24405218622
THA,Thailand,2001,1168.68539717143
THA,Thailand,2002,1279.99042486205
THA,Thailand,2003,1373.72755382047
THA,Thailand,2004,1471.23364988111
THA,Thailand,2005,1499.68662816572
THA,Thailand,2006,1516.59361395567
THA,Thailand,2007,1568.26753453834
THA,Thailand,2008,1598.66546544113
THA,Thailand,2009,1581.02756151253
THA,Thailand,2010,1718.30045523698
THA,Thailand,2011,1705.63030169254
THA,Thailand,2012,1817.44692796534
THA,Thailand,2013,1943.10160335625
THA,Thailand,2014,1919.15336491277
,,2015,1919.15336491277
,,2016,1919.15336491277
,,2017,1919.15336491277
,,2018,1919.15336491277
,,2019,1919.15336491277
,,2020,1919.15336491277
,,2021,1919.15336491277
,,2022,1919.15336491277
,,2023,1919.15336491277
,,2024,1919.15336491277
,,2025,1919.15336491277
,,2026,1919.15336491277
,,2027,1919.15336491277
,,2028,1919.15336491277
,,2029,1919.15336491277
,,2030,1919.15336491277
,,2031,1919.15336491277
,,2032,1919.15336491277
,,2033,1919.15336491277
,,2034,1919.15336491277
,,2035,1919.15336491277
VNM,Vietnam,2000,372.450487376476
VNM,Vietnam,2001,393.045917100693
VNM,Vietnam,2002,424.532561122052
VNM,Vietnam,2003,441.290287161707
VNM,Vietnam,2004,485.041363051563
VNM,Vietnam,2005,508.726121851863
VNM,Vietnam,2006,514.449018939842
VNM,Vietnam,2007,543.860534146804
VNM,Vietnam,2008,570.996443261552
VNM,Vietnam,2009,613.731435956907
VNM,Vietnam,2010,673.624453822915
VNM,Vietnam,2011,665.577169245025
VNM,Vietnam,2012,669.497907035472
VNM,Vietnam,2013,661.649102806502
,,2014,661.649102806502
,,2015,661.649102806502
,,2016,661.649102806502
,,2017,661.649102806502
,,2018,661.649102806502
,,2019,661.649102806502
,,2020,661.649102806502
,,2021,661.649102806502
,,2022,661.649102806502
,,2023,661.649102806502
,,2024,661.649102806502
,,2025,661.649102806502
,,2026,661.649102806502
,,2027,661.649102806502
,,2028,661.649102806502
,,2029,661.649102806502
,,2030,661.649102806502
,,2031,661.649102806502
,,2032,661.649102806502
,,2033,661.649102806502
,,2034,661.649102806502
,,2035,661.649102806502
