Year,GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),"Population, total",Urban population (% of total),Population growth (annual %),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Total greenhouse gas emissions (per capita),Demand (TWh),Country
2024-01-01,495272467230.90326,59689.16949375504,17.46651306020246,12.150127720994137,-31.33687611644414,5864347.737570762,100.0,-1.037073566680822,1746.6326028901308,7038.9713083893585,100.0,92.23598473281571,127.53304617464693,173.2530109198084,11.21898445283857,7.282033405348284,10.067047902964449,53.800025731327494,Singapore
2025-01-01,655470466904.8,96908.73579460806,24.813465828368503,17.761922288079507,89.9717487888409,5825233.935943551,100.0,-2.0406569528222045,5990.3495698903525,9038.781805815208,100.0,83.39308402395113,87.7138806363715,146.82400532020142,9.287526892473785,11.40884992318664,15.166588901660697,65.55585999300044,Singapore
2026-01-01,606707093350.5646,57346.76704238422,17.677081283351086,14.485041655005242,-26.12785470968704,6171455.8291461505,100.0,5.858693259820521,3908.6777606427313,7499.381753438922,100.0,96.91532024420495,126.54534544843816,176.80028662373428,8.416499249020656,9.964096055377375,13.61456386786693,56.80541768485402,Singapore
2027-01-01,813724904091.4203,110076.43045174384,18.562991653459722,8.099162654544346,13.556743680748527,6112123.444125855,100.0,-2.6608102553707402,3542.0012599970264,7514.631645743748,100.0,87.6805538295141,115.29008363712532,181.98971980315787,8.73369679125279,6.993440428102291,10.474336288453157,68.3391736029525,Singapore
2028-01-01,720267687778.3292,68383.3510371572,11.32831391660356,8.571904987171411,15.121108888470978,6353451.734113878,100.0,2.966410079248079,1179.7450021517247,6182.979758696427,100.0,93.5328071282265,136.52255169635808,180.47975340360603,7.5371538490377095,11.345201111746183,15.829648940369381,58.54990782395663,Singapore
2029-01-01,1119431189742.4385,151424.2623665022,28.527354334008553,19.1089098722724,85.68259427578111,6267574.320353985,100.0,-4.413624793341201,8592.529733089399,9789.425940516052,100.0,79.37989256385553,110.21768690591514,149.4916916967475,2.747399634834318,10.866316404078002,16.131339609805245,80.09688867494216,Singapore
2030-01-01,881823949695.116,49146.586134419296,-5.114081700666453,-11.960440052551512,-183.95186217351682,6730547.03252804,100.0,7.831147392151238,-5856.913342008269,1707.3148118457057,100.0,103.90600493517222,211.28040069706913,275.8919560911257,13.124025385426041,6.332220166832606,10.517046101779306,55.60565757833917,Singapore
2031-01-01,1273146307360.1753,212097.85927357,31.964994844402817,17.506574292117833,292.4246513908332,7041012.730077982,100.0,-0.5895242722325513,13246.914598462805,12126.50936950728,100.0,58.52228959359852,37.055924190591234,75.51825224483352,-9.411812821605452,12.108078290441359,18.504521932373514,97.80994394387719,Singapore
2032-01-01,976563786762.0134,-5043.135417863676,-18.629617774726295,-14.897408170376409,-341.19405602299923,6598798.716355827,100.0,-7.397763396396351,-10884.605251602063,-1733.0116868498026,100.0,125.6006337234958,332.6391277394798,313.5765534920673,5.670537478730676,9.795695943881569,16.017338644851502,43.62307529224309,Singapore
2033-01-01,2220986775158.2695,354794.6514523469,44.2286054336321,11.974930503659127,332.38622853093807,6885608.642106812,100.0,-3.8069697440606145,14978.873616146586,12594.981452214583,100.0,32.734794200416545,22.10040023625705,112.2350150408878,-11.716039972739122,6.250931396360794,13.501577831076183,136.35637685521596,Singapore
2034-01-01,764517286083.3632,-87857.39949890258,-40.39649403916914,-24.720517014078645,-267.1867953716741,8848616.368579766,100.0,35.26911906302967,-12954.100927073869,-3823.809818720785,100.0,143.04233657104857,314.7475233815794,330.49834041564424,10.733745543765583,19.65086933939586,28.018281544401233,29.59250664574929,Singapore
2035-01-01,2753402669287.0405,455190.8252363134,51.865846205479556,10.504103914363101,181.25677470900737,6935770.950879064,100.0,-45.94483507713365,16872.225742185572,13175.299631689622,100.0,19.79051425226959,123.94015213804414,74.6271006476728,-42.29690994178735,-8.049048457900891,-0.004741065443033321,156.4982718238313,Singapore
