Year,Forecast (TWh),Lower 95%,Upper 95%
2000,98.33986595138867,98.33986594894881,98.33986595384856
2001,103.48845697817598,102.45873877027647,104.51817518614786
2002,103.48845697817598,102.45873877027647,104.51817518614786
2003,103.48845697817598,102.45873877027647,104.51817518614786
2004,103.48845697817598,102.45873877027647,104.51817518614786
2005,103.48845697817598,102.45873877027647,104.51817518614786
2006,103.48845697817598,102.45873877027647,104.51817518614786
2007,103.48845697817598,102.45873877027647,104.51817518614786
2008,103.48845697817598,102.45873877027647,104.51817518614786
2009,103.48845697817598,102.45873877027647,104.51817518614786
2010,103.48845697817598,102.45873877027647,104.51817518614786
2011,103.48845697817598,102.45873877027647,104.51817518614786
2012,103.48845697817598,102.45873877027647,104.51817518614786
2013,103.48845697817598,102.45873877027647,104.51817518614786
2014,103.48845697817598,102.45873877027647,104.51817518614786
2015,103.48845697817598,102.45873877027647,104.51817518614786
2016,103.48845697817598,102.45873877027647,104.51817518614786
2017,103.48845697817598,102.45873877027647,104.51817518614786
2018,103.48845697817598,102.45873877027647,104.51817518614786
2019,103.48845697817598,102.45873877027647,104.51817518614786
2020,103.48845697817598,102.45873877027647,104.51817518614786
2021,103.48845697817598,102.45873877027647,104.51817518614786
2022,103.48845697817598,102.45873877027647,104.51817518614786
2023,103.48845697817598,102.45873877027647,104.51817518614786
2023,103.48845697817598,102.45873877027647,104.51817518614786
2024,103.48845697817598,102.45873877027647,104.51817518614786
2025,103.48845697817598,102.45873877027647,104.51817518614786
2026,103.48845697817598,102.45873877027647,104.51817518614786
2027,103.48845697817598,102.45873877027647,104.51817518614786
2028,103.48845697817598,102.45873877027647,104.51817518614786
2029,103.48845697817598,102.45873877027647,104.51817518614786
2030,103.48845697817598,102.45873877027647,104.51817518614786
2031,103.48845697817598,102.45873877027647,104.51817518614786
2032,103.48845697817598,102.45873877027647,104.51817518614786
2033,103.48845697817598,102.45873877027647,104.51817518614786
2034,103.48845697817598,102.45873877027647,104.51817518614786
