Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2000,98.04,216077790.0,1.43244007763682,42.002,57.998,165021012077.81,570.0,41.9690746432197,22.6597512077359,-2.75743993350903,720.369553020697,382.177177950589,0.697608146602331,15.9560675060273,84.0439324939727,61.9522672519218,86.3,11.5135279935709,6.7,-52.5666611423003,0.270595910837388,5.5,0.925564,1.714058712,26.2052017856205,1.24524161289282
2001,106.16,219097902.0,1.38801892806803,42.783,57.217,160446947784.909,700.0,47.8935007853871,30.7545972173123,-1.85568619300523,727.132877794512,402.696690358998,0.796935862625596,17.474865190511,82.525134809489,61.4567561997716,86.3,12.8627017204259,7.5,-51.8184045011989,0.285780123983389,5.43,2.01861,3.003488464,25.8543760470568,1.37481834466724
2002,113.04,222088495.0,1.35572575488289,43.568,56.432,195660611165.183,780.0,47.7453311592597,31.9532784940709,0.0741516383181159,743.975400436659,408.602885980203,0.677335042151991,14.9532883003595,85.0467116996405,62.5492538730196,87.6,16.1444135394624,8.8,-50.286293134744,0.280144626306315,5.38,2.13414,5.31540109,25.5291686460049,1.41023379736012
2003,117.39,225048008.0,1.32378197652859,44.356,55.644,234772463823.808,880.0,43.7495660917608,28.2528418444569,-0.254256320381005,736.276643692843,419.825977753156,0.639576316232767,13.6385363003877,86.3614636996123,62.4420226939689,87.9,16.3692531024838,10.4,-53.9882909101057,0.270729400051921,5.15,2.38702,8.290855733,25.1975719602112,1.43640446443785
2004,124.78,227926649.0,1.27101139474106,45.149,54.851,256836875295.452,1060.0,44.6276159754602,28.0658265856536,0.738243979887563,774.982863017479,464.715295314152,0.662289287272607,13.6065178133036,86.3934821866964,64.3164471823184,89.0,11.8522340487504,12.5,-50.1742911075702,0.267369169120787,5.22,2.60029,13.42692564,24.8275783674222,1.50989820886019
2005,132.89,230871650.0,1.28380661170743,45.942,54.058,285868619196.085,1200.0,46.5410588710711,27.4075074800459,2.91611483313067,778.643103213409,490.714212853765,0.700147940703874,13.6055328591928,86.3944671408072,64.9962452984458,84.8,11.1637353072634,15.0,-55.914624816494,0.248245085240008,5.02,3.60202,20.5021492,24.3871802453844,1.508480595686
2006,138.0,233951652.0,1.32525502272966,46.738,53.262,364570515618.358,1350.0,46.9435587410795,27.5375740802453,1.3479426406893,786.463974188992,505.813910645093,0.648572291920001,12.2587772033185,87.7412227966815,65.1770813902277,90.6,11.0737044607431,18.5,-70.8317495454458,0.230375651692837,4.86,4.76481,27.52533357,23.8860554289587,1.50157677007933
2007,148.4,237062337.0,1.32086532413059,47.535,52.465,432216737774.861,1570.0,46.7991415207073,27.0484127487931,1.6030105718879,772.487879422196,535.352859530782,0.73552095661815,12.9038838981084,87.0961161018917,64.5846374090852,91.1,10.7202903954246,23.0,-74.0946324572424,0.229617242948461,4.55,5.78627,39.76307645,23.3156711321389,1.61185539544094
2008,155.9,240157903.0,1.29735043016571,48.335,51.665,510228634992.255,1900.0,48.0607447690175,27.8142729854304,1.82632902403999,777.617865858864,558.932262162532,0.787998661919356,13.3158324739161,86.6841675260839,63.8070770740834,92.7,10.108085664921,28.45,-73.6338643639194,0.235625240651278,4.31,7.91748,59.08224127,22.6167038013704,1.7638951391433
2009,162.87,243220028.0,1.26698625068088,49.134,50.866,539580085612.401,2110.0,47.6521225811621,26.3554745271064,0.903919419654062,829.998798454213,582.711058646864,0.764661577618579,13.2330616046028,86.7669383953972,65.5207245811215,93.6,9.59853036855601,34.2,-74.3997566461944,0.239519171982929,4.35,6.92,67.92102195,21.7298298830988,1.86516540256931
2010,177.56,246305322.0,1.26054140134601,49.914,50.086,755094157594.524,2490.0,42.7758663362749,22.0386285924438,2.02517914576708,861.154360278094,624.440425205266,0.947814874501349,15.8540249182646,84.1459750817354,67.1547878248677,94.2,9.39825041972254,40.6,-79.04613071007,0.213957331666914,4.26,10.92,86.58861927,20.5957258237696,1.76790787941536
2011,191.88,249470032.0,1.27668830646548,50.595,49.405,892969104529.572,2960.0,43.9134234267133,21.7608545038476,2.30298429390257,819.014453808223,668.408941399422,0.800177347678535,11.9928905172367,87.9989313967626,65.3021441970397,94.8,9.08966998696958,46.6,-106.708155531383,0.277992164393531,4.1,12.28,101.095073,17.9185723142468,2.45684474415599
2012,208.96,252698525.0,1.28583816632167,51.276,48.724,917869913364.917,3520.0,43.5937444233376,21.4509550553875,2.30978031844954,838.871821669715,721.048925790129,0.789529582538626,11.2368144778283,88.7556866470029,65.3447506537263,96.0,8.92216167574864,52.6,-107.211073417706,0.271689922868156,3.84,14.52,112.6850884,19.553351601333,2.559750232591
2013,225.18,255852467.0,1.24038001568984,51.955,48.045,912524136718.018,3670.0,42.6356774375889,21.0286886817218,2.55135633401058,850.157168896871,761.747589480933,0.904904505605409,12.2701601703546,87.7205814276456,65.2656868066395,96.5,9.58290898990834,58.1,-112.283750758322,0.194908673132007,3.53,14.94,123.6702315,20.1029935644832,1.94509447387694
2014,237.55,258877399.0,1.17536091203837,52.635,47.365,890814755511.014,3570.0,41.9283421270033,21.0751760505565,2.81997260419232,871.119668503777,800.150962579781,0.83857029181184,11.4751004932507,88.517000473942,66.089475456589,97.0,9.40116554617424,63.0,-103.091329547663,0.1726534464408,3.48,17.1432,127.0667453,18.5354648917633,1.81936331905513
2015,243.29,261799249.0,1.12233981761262,53.313,46.687,860854232717.718,3390.0,40.0478624042506,20.9857874310206,2.29761639372032,,910.0,,10.6511556345733,89.3445705689278,,97.5,,67.3,,,3.26,22.0627,130.8216306,18.6712786457665,
2016,258.24,264627418.0,1.0744882002252,53.989,46.011,931877364034.196,3370.0,39.3084439802081,20.5229746805052,0.48737247137071,,956.0,,12.0719582395239,,,97.6,,71.6,,,3.18,25.4474,147.24962,19.1310042759597,
2017,266.95,267346658.0,1.02232939771064,54.659,45.341,1015618744168.08,3490.0,39.3791548040237,20.1600223614347,2.01948919810922,,1021.0,,12.5605535137614,,,98.1,,75.5,,,3.14,32.3358,164.5351584,16.9555634840925,
2018,285.29,269951846.0,0.969743409524713,55.325,44.675,1042271532953.49,3810.0,39.7297374523848,19.8631933835963,1.81428979355558,,1064.0,,17.0370007361396,,,98.5,,78.9,,,3.24,39.9046,119.6084851,18.4371895829409,
2019,297.12,272489381.0,0.935604959235128,55.985,44.015,1119099871385.79,4020.0,38.9517679950779,19.7035390875513,2.23336204275137,,1084.0,,16.2466452115754,,,98.9,,82.1,,,3.19,47.6906,126.5946679,19.4270918962783,
2020,293.37,274814866.0,0.849801187379341,56.641,43.359,1059054842711.55,3850.0,38.2383937187942,19.8664218856304,1.81058402024892,,,,,,,97.0,,84.8,,,3.11,53.7265,130.8110952,17.8814994983985,
2021,310.33,276758053.0,0.704601321926319,57.29,42.71,1186509691070.97,4130.0,39.8448191919686,19.2434077817738,1.78785563147915,,,,,,,99.2,,87.2,,,3.04,62.1045,133.6505363,,
2022,334.34,278830529.0,0.746050469653246,57.934,42.066,1319076267291.51,4520.0,41.4300472451885,18.3365234606157,1.87267638101123,,,,,,,100.0,,89.1,,,,66.4846,114.9005566,,
2023,351.49,281190067.0,0.842666137328498,58.572,41.428,1371171152331.16,4810.0,40.2156294645022,18.6673912499385,1.61073360160404,,,,,,,,,,,,,69.2084,,,
2024,,,,59.204,,,,,,,,,,,,,,,,,,,,,,
2025,,,,59.828,,,,,,,,,,,,,,,,,,,,,,
2026,,,,60.446,,,,,,,,,,,,,,,,,,,,,,
2027,,,,61.056,,,,,,,,,,,,,,,,,,,,,,
2028,,,,61.659,,,,,,,,,,,,,,,,,,,,,,
2029,,,,62.254,,,,,,,,,,,,,,,,,,,,,,
2030,,,,62.841,,,,,,,,,,,,,,,,,,,,,,
2031,,,,63.42,,,,,,,,,,,,,,,,,,,,,,
2032,,,,63.99,,,,,,,,,,,,,,,,,,,,,,
2033,,,,64.551,,,,,,,,,,,,,,,,,,,,,,
2034,,,,65.103,,,,,,,,,,,,,,,,,,,,,,
2035,,,,65.646,,,,,,,,,,,,,,,,,,,,,,
